No,FECHA ,ALCALDÍA,GIRO,DENOMINACIÓN,DILIGENCIA
41,4/24/2020,LA MAGDALENA CONTRERAS,SASTRERIA,CORNEJO,IMPLEMENTACIÓN DE MEDIDAS CAUTELARES CONSISTENTE EN SUSPENSIÓN DE ACTIVIDADES
42,4/24/2020,CUAUHTEMOC,VENTA Y MANUFACTURA DE DECORACIONES,EL TALLERCITO,IMPLEMENTACIÓN DE MEDIDAS CAUTELARES CONSISTENTE EN SUSPENSIÓN DE ACTIVIDADES
43,4/24/2021,CUAUHTEMOC,VENTA DE INSUMOS PARA TELECOMUNICACIONES E ILUMINACIÓN,EQUIPO DE CONTROL Y SOPORTERÍA,IMPLEMENTACION MEDIDAS CAUTELARES CONSISTENTE SUSPENSIÓN DE ACTIVIDADES
44,4/24/2020,CUAUHTEMOC,VENTA DE MANUALIDADES,CASA MARNI,IMPLEMENTACIÓN DE MEDIDAS CAUTELARES CONSISTENTE EN SUSPENSIÓN DE ACTIVIDADES
45,4/27/2020,TLALPAN,VENTA DE CLOSETS Y COCINAS,EL BORDO,IMPLEMENTACIÓN DE MEDIDAS CAUTELARES CONSISTENTE EN SUSPENSIÓN DE ACTIVIDADES
46,4/27/2020,TLALPAN,VIDRIOS Y ALUMINIO,SIN DENOMINACIÓN,IMPLEMENTACIÓN DE MEDIDAS CAUTELARES CONSISTENTE EN SUSPENSIÓN DE ACTIVIDADES
47,4/27/2020,AZCAPOTZALCO,BODEGA Y OFICINA,CT INTERNACIONAL DEL NOROESTE SA DE CV,IMPLEMENTACIÓN DE MEDIDAS CAUTELARES CONSISTENTE EN SUSPENSIÓN DE ACTIVIDADES
48,4/28/2020,VENUSTIANO CARRANZA,BIENES RAICES,TECNOCASA GROUP,IMPLEMENTACIÓN DE MEDIDAS CAUTELARES CONSISTENTE EN SUSPENSIÓN DE ACTIVIDADES
49,4/28/2020,BENITO JUAREZ,VENTA DE PAPELERIA Y ARTICULOS DE OFICINA,OFFICE DEPOT,IMPLEMENTACIÓN DE MEDIDAS CAUTELARES CONSISTENTE EN SUSPENSIÓN DE ACTIVIDADES
50,4/28/2020,VENUSTIANO CARRANZA,VENTA DE LLANTAS,PROVEEDORA INDUSTRIAL MÉXICO,IMPLEMENTACIÓN DE MEDIDAS CAUTELARES CONSISTENTE EN SUSPENSIÓN DE ACTIVIDADES
51,4/28/2020,BENITO JUAREZ,VENTA DE PAPELERIA Y ARTICULOS DE OFICINA,OFFICE MAX,IMPLEMENTACIÓN DE MEDIDAS CAUTELARES CONSISTENTE EN SUSPENSIÓN DE ACTIVIDADES
52,4/29/2020,CUAUHTEMOC,PAPELERÍA,PAPELERIA RUVIC,IMPLEMENTACIÓN DE MEDIDAS CAUTELARES CONSISTENTE EN SUSPENSIÓN DE ACTIVIDADES
53,4/29/2020,CUAUHTEMOC,PAPELERÍA,FANTASIAS EN FOMI,IMPLEMENTACIÓN DE MEDIDAS CAUTELARES CONSISTENTE EN SUSPENSIÓN DE ACTIVIDADES
54,4/29/2020,CUAUHTEMOC,VENTA DE ROPA,SIN DENOMINACIÓN,IMPLEMENTACIÓN DE MEDIDAS CAUTELARES CONSISTENTE EN SUSPENSIÓN DE ACTIVIDADES
55,4/29/2020,CUAUHTEMOC,VENTA DE ARTICULOS DE ACCESORIOS TELEFONICOS,MOBO,IMPLEMENTACIÓN DE MEDIDAS CAUTELARES CONSISTENTE EN SUSPENSIÓN DE ACTIVIDADES
56,4/30/2020,CUAUHTEMOC,"PAPELERÍA, VENTA DE PRODUCTOS MANUFACTURADOS Y CAFETERIA",OFFICE MAX,IMPLEMENTACIÓN DE MEDIDAS CAUTELARES CONSISTENTE EN SUSPENSIÓN DE ACTIVIDADES
57,4/30/2020,COYOACAN,MUEBLERIA,MUEBLES GRUPO ROSEND,IMPLEMENTACIÓN DE MEDIDAS CAUTELARES CONSISTENTE EN SUSPENSIÓN DE ACTIVIDADES
58,4/30/2020,COYOACAN,PAPELERIA Y ARTICULOS MANUFACTURADOS,OFFICE DEPOT,IMPLEMENTACIÓN DE MEDIDAS CAUTELARES CONSISTENTE EN SUSPENSIÓN DE ACTIVIDADES
59,4/30/2020,TLALPAN,VENTA DE TELAS,MODATELAS,IMPLEMENTACIÓN DE MEDIDAS CAUTELARES CONSISTENTE EN SUSPENSIÓN DE ACTIVIDADES
60,5/4/2020,IZTAPALAPA,VENTA DE COMPONENTES ELECTRONICOS,STEREN,IMPLEMENTACIÓN DE MEDIDAS CAUTELARES CONSISTENTE EN SUSPENSIÓN DE ACTIVIDADES
61,5/4/2020,IZTAPALAPA,VENTA DE PINTURA AUTOMOTRIZ,PINTURAS MEDINA,IMPLEMENTACIÓN DE MEDIDAS CAUTELARES CONSISTENTE EN SUSPENSIÓN DE ACTIVIDADES
62,5/4/2020,BENITO JUAREZ,OFICINAS,SIN DENOMINACIÓN,IMPLEMENTACIÓN DE MEDIDAS CAUTELARES CONSISTENTE EN SUSPENSIÓN DE ACTIVIDADES
63,5/5/2020,LA MAGDALENA CONTRERAS,PAPELERÍA,OFFICE DEPOT,IMPLEMENTACIÓN DE MEDIDAS CAUTELARES CONSISTENTE EN SUSPENSIÓN DE ACTIVIDADES
64,5/5/2020,LA MAGDALENA CONTRERAS,"PAPELERÍA, VENTA DE PRODUCTOS MANUFACTURADOS",CKNOSKELL,IMPLEMENTACIÓN DE MEDIDAS CAUTELARES CONSISTENTE EN SUSPENSIÓN DE ACTIVIDADES
65,5/5/2020,MIGUEL HIDALGO,VENTA DE TELAS,MODATELAS,IMPLEMENTACIÓN DE MEDIDAS CAUTELARES CONSISTENTE EN SUSPENSIÓN DE ACTIVIDADES
66,5/5/2020,MIGUEL HIDALGO,VENTA DE ARTICULOS DE COCINA,ANFORAMA,IMPLEMENTACIÓN DE MEDIDAS CAUTELARES CONSISTENTE EN SUSPENSIÓN DE ACTIVIDADES
